Country Name,Country Code,Population ages 65 and above (% of total population),
Middle East & North Africa (excluding high income),MNA,5.71933368693271,
Montenegro,MNE,17.4661274844054,
Mongolia,MNG,4.8636009012415,
Northern Mariana Islands,MNP,8.73335843873912,
Mozambique,MOZ,2.76676995144367,
Mauritania,MRT,3.21532864046301,
Mauritius,MUS,12.9415870752551,
Malawi,MWI,2.59256771636073,
Malaysia,MYS,7.45117376160733,
North America,NAC,17.6383514194549,
Namibia,NAM,3.57118148422511,
New Caledonia,NCL,11.0903354785516,
Niger,NER,2.57103562491354,
Nigeria,NGA,3.02816298955589,
Nicaragua,NIC,5.37928367274053,
Netherlands,NLD,20.1567559021407,
Norway,NOR,18.5338475896816,
Nepal,NPL,6.36058770858938,
Nauru,NRU,2.67789473684211,
New Zealand,NZL,16.7985801212333,
OECD members,OED,18.2481199231903,
Oman,OMN,2.66044451186895,
Other small states,OSS,9.42399174788334,
Pakistan,PAK,4.19627145721884,
Panama,PAN,9.05673529338545,
Peru,PER,8.99256615708912,
Philippines,PHL,5.26217156111322,
Palau,PLW,10.8503737131575,
Papua New Guinea,PNG,3.34830819369497,
Poland,POL,19.5609114692528,
Pre-demographic dividend,PRE,2.8874552635422,
Puerto Rico,PRI,24.2437244035166,
"Korea, Dem. People's Rep.",PRK,12.0285977805304,
Portugal,PRT,24.1115106141099,
Paraguay,PRY,6.36927529015307,
West Bank and Gaza,PSE,3.80247435781418,
Pacific island small states,PSS,5.09019948173859,
Post-demographic dividend,PST,20.6240043193214,
French Polynesia,PYF,10.7255481229446,
Qatar,QAT,1.57209502793142,
Romania,ROU,19.7531409207066,
Russian Federation,RUS,16.6046427349856,
Rwanda,RWA,3.82185022198798,
South Asia,SAS,6.47174539832306,
Saudi Arabia,SAU,2.81950386919403,
Sudan,SDN,3.21166042888835,
Senegal,SEN,3.5903878360666,
Singapore,SGP,13.0953667239036,
Solomon Islands,SLB,3.62653756755422,
Sierra Leone,SLE,3.20667945391485,
El Salvador,SLV,8.00031824400313,
San Marino,SMR,21.6823538130883,
Somalia,SOM,2.56456709833503,
Serbia,SRB,22.3383596618497,
Sub-Saharan Africa (excluding high income),SSA,3.15488575622348,
South Sudan,SSD,2.91238881534295,
Sub-Saharan Africa,SSF,3.15537782092455,
Small states,SST,8.75924289260956,
Sao Tome and Principe,STP,3.86730280697271,
Suriname,SUR,7.62149260756322,
Slovak Republic,SVK,18.0508365765507,
Slovenia,SVN,21.3323429613727,
Sweden,SWE,20.5364235623884,
Eswatini,SWZ,4.14687128709653,
Sint Maarten (Dutch part),SXM,13.4470981777352,
Seychelles,SYC,8.33095611193391,
Syrian Arab Republic,SYR,4.68683691195235,
Turks and Caicos Islands,TCA,10.8987402052037,
Chad,TCD,2.07477443006556,
East Asia & Pacific (IDA & IBRD countries),TEA,12.1071107839636,
Europe & Central Asia (IDA & IBRD countries),TEC,14.026737702631,
Togo,TGO,3.16375561398111,
Thailand,THA,14.7182560815403,
Tajikistan,TJK,3.65005635094848,
Turkmenistan,TKM,4.27238303859711,
Latin America & the Caribbean (IDA & IBRD countries),TLA,9.33433148858386,
Timor-Leste,TLS,5.33415782576722,
Middle East & North Africa (IDA & IBRD countries),TMN,5.7420995428796,
Tonga,TON,6.60245225746313,
South Asia (IDA & IBRD),TSA,6.47174539832306,
Sub-Saharan Africa (IDA & IBRD countries),TSS,3.15537782092455,
Trinidad and Tobago,TTO,11.8539588437937,
Tunisia,TUN,9.16627453571107,
Turkiye,TUR,10.0010276668343,
Tuvalu,TUV,6.27578829402476,
Tanzania,TZA,3.04319999848689,
Uganda,UGA,2.15058279399148,
Ukraine,UKR,18.5575345907943,
Upper middle income,UMC,11.6975389625819,
Uruguay,URY,15.8128179067764,
United States,USA,17.4318194823539,
Uzbekistan,UZB,5.69504099692623,
St. Vincent and the Grenadines,VCT,11.5630782896198,
"Venezuela, RB",VEN,9.33356816723623,
British Virgin Islands,VGB,9.20225727844043,
Virgin Islands (U.S.),VIR,22.2436144269028,
Viet Nam,VNM,8.62116598619573,
Vanuatu,VUT,4.21820894264665,
World,WLD,9.97876530712741,
Samoa,WSM,5.70563501843877,
Kosovo,XKX,9.64385638963536,
"Yemen, Rep.",YEM,2.50752339397838,
South Africa,ZAF,6.51509367622564,
Zambia,ZMB,1.89885236729554,
Zimbabwe,ZWE,3.61832175940481,
